epoch;EC50_loss;IA_auc;IA_loss;IC50_loss;Kd_loss;Ki_loss;loss;pH_loss;val_EC50_loss;val_IA_auc;val_IA_loss;val_IC50_loss;val_Kd_loss;val_Ki_loss;val_loss;val_pH_loss
0;1.1727925539016724;0.6028291583061218;0.661345899105072;7.792613983154297;0.48041990399360657;2.791297197341919;13.217523574829102;0.31905558705329895;0.8558571934700012;0.725566029548645;0.6053592562675476;5.7010979652404785;0.36468419432640076;2.2992918491363525;9.880446434020996;0.05415539816021919
1;0.8208615779876709;0.7397181391716003;0.5854169726371765;5.81620979309082;0.3454594016075134;2.265794038772583;9.929886817932129;0.09613624960184097;0.8429542183876038;0.7927126884460449;0.5702005624771118;5.5884199142456055;0.3013225197792053;2.1258385181427;9.462111473083496;0.03337637335062027
2;0.6473802924156189;0.7992844581604004;0.5311604738235474;4.8136725425720215;0.28128722310066223;1.912430763244629;8.259593963623047;0.07366757094860077;0.5190666317939758;0.8319903016090393;0.502209484577179;4.003472328186035;0.24366673827171326;1.609835147857666;6.902352333068848;0.024102333933115005
3;0.5630354881286621;0.8278849720954895;0.49952101707458496;4.235755443572998;0.2575417160987854;1.695620059967041;7.314639091491699;0.06316646188497543;0.5556765794754028;0.8471879363059998;0.5019925236701965;4.2986836433410645;0.2371789664030075;1.7690722942352295;7.38663911819458;0.024035198614001274
4;0.5200236439704895;0.8428870439529419;0.4808821976184845;3.9005212783813477;0.23649998009204865;1.5853219032287598;6.778527736663818;0.055276378989219666;0.44696739315986633;0.8607931733131409;0.4654284119606018;3.586710214614868;0.21286508440971375;1.456217646598816;6.187165260314941;0.01897840015590191
5;0.4930669665336609;0.8524379134178162;0.46784359216690063;3.677509069442749;0.22894781827926636;1.4992425441741943;6.415951728820801;0.04934583604335785;0.4224749207496643;0.8672099113464355;0.4521929919719696;3.2509372234344482;0.2041068971157074;1.3629885911941528;5.70903205871582;0.01633189618587494
6;0.47608068585395813;0.8597729206085205;0.45767131447792053;3.525421619415283;0.21790292859077454;1.4403603076934814;6.16167688369751;0.04423872008919716;0.40318551659584045;0.8732263445854187;0.44164079427719116;3.082353353500366;0.2015627920627594;1.329232931137085;5.47408390045166;0.016108205541968346
7;0.4601166248321533;0.8649693131446838;0.4499530792236328;3.395155906677246;0.20948609709739685;1.3890345096588135;5.944396495819092;0.04064427688717842;0.3931061327457428;0.8755193948745728;0.4371367394924164;3.028770923614502;0.18825455009937286;1.2679178714752197;5.331053256988525;0.015865912660956383
8;0.4499099552631378;0.8694755434989929;0.44326525926589966;3.2896387577056885;0.20318518579006195;1.3541452884674072;5.777149200439453;0.037004753947257996;0.3883209824562073;0.880208432674408;0.4311315715312958;2.9399290084838867;0.1946069747209549;1.2406325340270996;5.210379123687744;0.01575673371553421
9;0.4359157681465149;0.8732995390892029;0.4372744560241699;3.215297222137451;0.19761237502098083;1.3248445987701416;5.644394397735596;0.033451080322265625;0.43111366033554077;0.8802761435508728;0.4382162094116211;3.1253228187561035;0.18866828083992004;1.300127625465393;5.498955726623535;0.015507262200117111
10;0.43083685636520386;0.8763601779937744;0.4326486885547638;3.1386828422546387;0.19477102160453796;1.2954879999160767;5.523504257202148;0.031076580286026;0.3820053040981293;0.8833560943603516;0.4324115216732025;3.0781729221343994;0.18590669333934784;1.2528799772262573;5.346368312835693;0.014990518800914288
11;0.4203145503997803;0.8784010410308838;0.4292188286781311;3.0715649127960205;0.18914467096328735;1.2684437036514282;5.407748699188232;0.0290614552795887;0.3734728991985321;0.886846125125885;0.4205268621444702;2.793781042098999;0.172692209482193;1.195486307144165;4.970160961151123;0.014202608726918697
12;0.4149461090564728;0.8804951310157776;0.425996333360672;3.0172102451324463;0.1852603703737259;1.2384490966796875;5.308952331542969;0.02708897553384304;0.37624263763427734;0.8883302211761475;0.4265977442264557;3.049577474594116;0.17420637607574463;1.190600872039795;5.23232889175415;0.015103062614798546
13;0.4060385823249817;0.8832789659500122;0.4214133024215698;2.9568095207214355;0.18320335447788239;1.2229734659194946;5.215724945068359;0.025286180898547173;0.369471937417984;0.8900167942047119;0.4155007302761078;2.7501299381256104;0.16794203221797943;1.1907727718353271;4.909353733062744;0.01553803775459528
14;0.4018871486186981;0.8848360180854797;0.4188593327999115;2.912520170211792;0.18039242923259735;1.2086961269378662;5.14655065536499;0.024197181686758995;0.34977832436561584;0.8919981718063354;0.41036418080329895;2.6992385387420654;0.17550648748874664;1.1321437358856201;4.7814788818359375;0.014447645284235477
15;0.3979986608028412;0.8864607214927673;0.416250616312027;2.87393856048584;0.17478157579898834;1.1916334629058838;5.077794075012207;0.023186100646853447;0.3647090196609497;0.8939986824989319;0.40833422541618347;2.7157983779907227;0.1732669323682785;1.126365065574646;4.802220821380615;0.013746892102062702
16;0.3915203809738159;0.8878161311149597;0.41377463936805725;2.8334343433380127;0.1713666170835495;1.1704156398773193;5.002689361572266;0.022175604477524757;0.3623870611190796;0.8935257792472839;0.40590900182724;2.6583361625671387;0.1698480248451233;1.1113853454589844;4.722255706787109;0.014390337280929089
17;0.38694849610328674;0.8895244002342224;0.41110706329345703;2.795131206512451;0.1699429601430893;1.162070631980896;4.947010040283203;0.02180393971502781;0.35653963685035706;0.895216703414917;0.40783441066741943;2.694612979888916;0.17689019441604614;1.1288405656814575;4.7789835929870605;0.014267009682953358
